Time,Value,Error,Energy
1e-07,0.0,0.0,25.337112889284185
1.2000000000000002e-07,0.0,0.0,17.37879250769715
1.201e-07,0.0,0.0,17.349057837255753
1.202e-07,0.0,0.0,17.319400110185715
1.2029999999999999e-07,0.0,0.0,17.289819058871924
1.204e-07,0.0,0.0,17.260314416871548
1.205e-07,0.0,0.0,17.230885918908374
1.206e-07,0.0,0.0,17.20153330086657
1.2070000000000002e-07,0.0,0.0,17.172256299784006
1.208e-07,0.0,0.0,17.14305465384682
1.209e-07,0.0,0.0,17.113928102382758
1.21e-07,0.0,0.0,17.08487638585552
1.211e-07,0.0,0.0,17.055899245858935
1.212e-07,0.0,0.0,17.026996425110696
1.213e-07,0.0,0.0,16.998167667446317
1.2140000000000002e-07,0.0,0.0,16.969412717813487
1.215e-07,0.0,0.0,16.940731322266654
1.216e-07,0.0,0.0,16.91212322796056
1.217e-07,0.0,0.0,16.883588183144184
1.218e-07,0.0,0.0,16.855125937156576
1.219e-07,0.0,0.0,16.826736240419127
1.22e-07,0.0,0.0,16.798418844431836
1.2210000000000001e-07,0.0,0.0,16.770173501765772
1.222e-07,0.0,0.0,16.741999966059335
1.223e-07,0.0,0.0,16.713897992011372
1.224e-07,0.0,0.0,16.68586733537595
1.225e-07,0.0,0.0,16.657907752957783
1.226e-07,0.0,0.0,16.63001900260533
1.227e-07,0.0,0.0,16.60220084320622
1.228e-07,0.0,0.0,16.574453034682023
1.229e-07,0.0,0.0,16.546775337982
1.23e-07,0.0,0.0,16.519167515079143
1.231e-07,0.0,0.0,16.491629328963274
1.2320000000000002e-07,0.0,0.0,16.46416054363731
1.233e-07,0.0,0.0,16.436760924110988
1.234e-07,0.0,0.0,16.409430236396073
1.235e-07,0.0,0.0,16.382168247501355
1.236e-07,0.0,0.0,16.354974725427216
1.237e-07,0.0,0.0,16.327849439160005
1.238e-07,0.0,0.0,16.300792158668905
1.2390000000000002e-07,0.0,0.0,16.273802654898216
1.24e-07,0.0,0.0,16.246880699764635
1.241e-07,0.0,0.0,16.22002606615101
1.2420000000000001e-07,0.0,0.0,16.19323852790153
1.243e-07,0.0,0.0,16.166517859817354
1.244e-07,0.0,0.0,16.139863837651387
1.2449999999999998e-07,0.0,0.0,16.113276238102856
1.2460000000000002e-07,0.0,0.0,16.08675483881377
1.247e-07,0.0,0.0,16.06029941836287
1.248e-07,0.0,0.0,16.033909756261654
1.2490000000000001e-07,0.0,0.0,16.007585632948967
1.25e-07,0.0,0.0,15.981326829787019
1.251e-07,0.0,0.0,15.955133129056193
1.252e-07,0.0,0.0,15.929004313950438
1.253e-07,0.0,0.0,15.90294016857289
1.254e-07,0.0,0.0,15.876940477931079
1.255e-07,0.0,0.0,15.851005027932128
1.256e-07,0.0,0.0,15.82513360537879
1.257e-07,0.0,0.0,15.799325997964434
1.258e-07,0.0,0.0,15.773581994268469
1.259e-07,0.0,0.0,15.747901383752366
1.26e-07,0.0,0.0,15.722283956755287
1.261e-07,0.0,0.0,15.696729504488241
1.262e-07,0.0,0.0,15.671237819031992
1.263e-07,0.0,0.0,15.645808693330597
1.2640000000000002e-07,0.0,0.0,15.620441921188489
1.265e-07,0.0,0.0,15.595137297265458
1.266e-07,0.0,0.0,15.569894617072283
1.267e-07,0.0,0.0,15.544713676967383
1.268e-07,0.0,0.0,15.519594274151197
1.269e-07,0.0,0.0,15.49453620666283
1.2699999999999999e-07,0.0,0.0,15.469539273375892
1.2710000000000002e-07,0.0,0.0,15.444603273994323
1.272e-07,0.0,0.0,15.419728009047596
1.273e-07,0.0,0.0,15.394913279887787
1.2740000000000002e-07,0.0,0.0,15.370158888683953
1.275e-07,0.0,0.0,15.34546463841942
1.276e-07,0.0,0.0,15.320830332887395
1.2769999999999999e-07,0.0,0.0,15.296255776686165
1.278e-07,0.0,0.0,15.271740775216399
1.279e-07,0.0,0.0,15.247285134675712
1.28e-07,0.0,0.0,15.222888662056578
1.2810000000000002e-07,0.0,0.0,15.198551165140081
1.282e-07,0.2827617798391193,0.0008,15.17427245249403
1.283e-07,1.0602867588128144,0.0011,15.15005233346816
1.284e-07,1.1068232611928899,0.0014,15.12589061819017
1.285e-07,1.14387780952538,0.0016,15.101787117562388
1.286e-07,1.1730691248779648,0.0017,15.077741643257594
1.287e-07,1.195236956541984,0.0017,15.053754007715476
1.2880000000000002e-07,1.2131461104457208,0.0017,15.029824024138037
1.289e-07,1.2271941916171956,0.0017,15.005951506487515
1.29e-07,1.2382692009999317,0.0017,14.982136269480742
1.291e-07,1.2471545914557112,0.0017,14.958378128587066
1.292e-07,1.2546414807276323,0.0017,14.934676900023545
1.293e-07,1.261268896288369,0.0017,14.911032400751614
1.294e-07,1.2669040384671795,0.0017,14.887444448473747
1.295e-07,1.2720120066119436,0.0017,14.863912861629904
1.2960000000000002e-07,1.2767733305469091,0.0017,14.840437459392954
1.297e-07,1.2813453125395358,0.0017,14.817018061665946
1.298e-07,1.2858241772828083,0.0017,14.793654489078998
1.299e-07,1.2902242515178357,0.0017,14.770346562984273
