Cells,Value,Error,Distance,Pellet
9.501,162.94,2.44,9.5,1
9.502,147.71,2.44,9.5,2
9.503,147.76,2.44,9.5,3
9.504,137.27,2.44,9.5,4
9.505,141.37,2.44,9.5,5
9.506,140.96,2.44,9.5,6
9.507,139.09,2.44,9.5,7
9.508,140.49,2.44,9.5,8
9.509,143.56,2.44,9.5,9
9.510,147.93,2.44,9.5,10
9.511,160.48,2.44,9.5,11
9.512,180.59,2.44,9.5,12
15.801,162.04,2.44,15.8,1
15.802,147.56,2.44,15.8,2
15.803,139.93,2.44,15.8,3
15.804,133.9,2.44,15.8,4
15.805,131.86,2.44,15.8,5
15.806,130.83,2.44,15.8,6
15.807,131.93,2.44,15.8,7
15.808,146.6,2.44,15.8,8
15.809,141.91,2.44,15.8,9
15.810,153.28,2.44,15.8,10
15.811,171.07,2.44,15.8,11
15.812,202.21,2.44,15.8,12
22.101,134.85,2.44,22.1,1
22.102,119.46,2.44,22.1,2
22.103,111.44,2.44,22.1,3
22.104,106.79,2.44,22.1,4
22.105,113.7,2.44,22.1,5
22.106,104.82,2.44,22.1,6
22.107,106.48,2.44,22.1,7
22.108,110.21,2.44,22.1,8
22.109,113.51,2.44,22.1,9
22.110,128.35,2.44,22.1,10
22.111,138.15,2.44,22.1,11
22.112,166.77,2.44,22.1,12
28.401,82.24,2.44,28.4,1
28.402,74.07,2.44,28.4,2
28.403,74.1,2.44,28.4,3
28.404,66.36,2.44,28.4,4
28.405,65.3,2.44,28.4,5
28.406,65.58,2.44,28.4,6
28.407,65.65,2.44,28.4,7
28.408,68.17,2.44,28.4,8
28.409,70.55,2.44,28.4,9
28.410,75.99,2.44,28.4,10
28.411,86.27,2.44,28.4,11
28.412,102.9,2.44,28.4,12
